lncRNA,Drug,DrugBank_ID
ENST00000561649,Oxaliplatin,DB00526
ENST00000562082,Oxaliplatin,DB00526
ENST00000563660,Oxaliplatin,DB00526
ENST00000565374,Oxaliplatin,DB00526
ENST00000567093,Baicalin,
ENST00000571486,Oxaliplatin,DB00526
ENST00000576784,Oxaliplatin,DB00526
ENST00000577281,Cisplatin,DB00515
ENST00000578792,Cisplatin,DB00515
ENST00000579595,Oxaliplatin,DB00526
ENST00000581816,Cisplatin,DB00515
ENST00000582141,Baicalin,
ENST00000584923,5alpha-Hydroxytriptolide,
ENST00000584934,Oxaliplatin,DB00526
ENST00000607286,Baicalin,
ENST00000608794,Dexamethasone,DB01234
ENST00000609511,Bakkenolide Iiia,
ENST00000618397,Bakkenolide Iiia,
ENST00000619282,Triptolide,DB12025
ENTPD3-AS1,Panobinostat,DB06603
EPAS1-207,Tetraarsenic Oxide,
EPB41L4A-AS1,Panobinostat,DB06603
EPB41L4A-AS2,Ruxolitinib,DB08877
EPHA1-AS1,Dexamethasone,DB01234
EPR-1,Panobinostat,DB06603
ERICH1-AS1,Panobinostat,DB06603
ERRFI1-IT1,Panobinostat,DB06603
ERVK13-1,Panobinostat,DB06603
ERVK13-1,Panobinostat,DB06603
EWSAT1,Calycosin,
EXOC7,Panobinostat,DB06603
FAM138B,Panobinostat,DB06603
FAM157C,Panobinostat,DB06603
FAM181A-AS1,Panobinostat,DB06603
FAM186B,Panobinostat,DB06603
FAM193A,Panobinostat,DB06603
FAM197Y3,Panobinostat,DB06603
FAM20A,Panobinostat,DB06603
FAM224A,Berberine,DB04115
FAM225A,Panobinostat,DB06603
FAM225B,Panobinostat,DB06603
FAM25D,Panobinostat,DB06603
FAM27E3,Panobinostat,DB06603
FAM40A,Panobinostat,DB06603
FAM75D5,Panobinostat,DB06603
FAM85B,Oxaliplatin,DB00526
FAM87B,Panobinostat,DB06603
FAM90A7P,Dexamethasone,DB01234
FAM91A2,Panobinostat,DB06603
FAM95B1,Dexamethasone,DB01234
FAM96B,Panobinostat,DB06603
FANCA-223,Tetraarsenic Oxide,
FAS,Panobinostat,DB06603
FAS-AS1,Sorafenib,DB00398
FBXL19-AS1,Oxaliplatin,DB00526
FBXL19-AS1,Tetraarsenic Oxide,
FBXO43,Panobinostat,DB06603
FCGR1C,Panobinostat,DB06603
FENDRR,Dexamethasone,DB01234
FER-206,Tetraarsenic Oxide,
FER1L4,Panobinostat,DB06603
FJ009034,Panobinostat,DB06603
FJ355932,Panobinostat,DB06603
FJ997633,Panobinostat,DB06603
FKBP9L,Panobinostat,DB06603
FLG-AS1,Panobinostat,DB06603
FLG-AS1,Olaparib,DB09074
FLJ10038,Panobinostat,DB06603
FLJ11235,Panobinostat,DB06603
FLJ11812,Sirolimus,DB00877
FLJ12334,Panobinostat,DB06603
FLJ12334,Pravastatin,DB00175
FLJ14107,Panobinostat,DB06603
FLJ14186,Panobinostat,DB06603
FLJ22447,Dexamethasone,DB01234
FLJ26850,Panobinostat,DB06603
FLJ30679,Panobinostat,DB06603
FLJ30838,Panobinostat,DB06603
FLJ33065,Panobinostat,DB06603
FLJ33630,Hydrogen Peroxide,DB11091
FLJ35024,Panobinostat,DB06603
FLJ35776,Panobinostat,DB06603
FLJ36000,Curcumin,DB11672
FLJ36777,Panobinostat,DB06603
FLJ37505,Panobinostat,DB06603
FLJ39051,Panobinostat,DB06603
FLJ39653,Panobinostat,DB06603
FLJ39739,Panobinostat,DB06603
FLJ40852,Panobinostat,DB06603
FLJ42627,Panobinostat,DB06603
FLJ42709,Panobinostat,DB06603
FLJ43315,Panobinostat,DB06603
FLJ43663,Panobinostat,DB06603
FLJ45340,Panobinostat,DB06603
FLJ46906,Panobinostat,DB06603
FLVCR1-AS1,Panobinostat,DB06603
FMR1-AS1,Panobinostat,DB06603
FOXP1-IT1,Oxaliplatin,DB00526
FP588,Panobinostat,DB06603
FRMD6-AS1,Panobinostat,DB06603
FTCD-206,Tetraarsenic Oxide,
FTX,Panobinostat,DB06603
FTX,Progesterone,DB00396
FTX,Sorafenib,DB00398
FTX,Calycosin,
FTX,Calycosin,
FTX,Tetraarsenic Oxide,
FUNDC2-204,Tetraarsenic Oxide,
FUT8-AS1,Panobinostat,DB06603
FW340027,Panobinostat,DB06603
FW340055,Panobinostat,DB06603
FZD10-AS1,Dexamethasone,DB01234
FZD10-AS1,Ginsenoside Rg3,
G005549,Dexamethasone,DB01234
G008198,Dexamethasone,DB01234
G009833,Dexamethasone,DB01234
G019504,Dexamethasone,DB01234
G019668,Dexamethasone,DB01234
G021750,Dexamethasone,DB01234
G025788,Dexamethasone,DB01234
G028263,Dexamethasone,DB01234
G030390,Dexamethasone,DB01234
G045011,Dexamethasone,DB01234
G046250,Dexamethasone,DB01234
G046273,Dexamethasone,DB01234
G047604,Dexamethasone,DB01234
G052137,Dexamethasone,DB01234
G052139,Dexamethasone,DB01234
G055391,Dexamethasone,DB01234
G056936,Dexamethasone,DB01234
G058578,Dexamethasone,DB01234
G058671,Dexamethasone,DB01234
G058820,Dexamethasone,DB01234
G059179,Dexamethasone,DB01234
G059487,Dexamethasone,DB01234
G060178,Dexamethasone,DB01234
G065290,Dexamethasone,DB01234
G065551,Dexamethasone,DB01234
G066126,Dexamethasone,DB01234
G067537,Dexamethasone,DB01234
G068869,Dexamethasone,DB01234
G070002,Dexamethasone,DB01234
G070447,Dexamethasone,DB01234
G071262,Dexamethasone,DB01234
G072273,Dexamethasone,DB01234
G072387,Dexamethasone,DB01234
G072955,Dexamethasone,DB01234
G073185,Dexamethasone,DB01234
G073201,Dexamethasone,DB01234
G073474,Dexamethasone,DB01234
G078570,Dexamethasone,DB01234
G082922,Dexamethasone,DB01234
G083892,Dexamethasone,DB01234
G086513,Dexamethasone,DB01234
G6PC3,Panobinostat,DB06603
G6PD-210,Tetraarsenic Oxide,
GAA-208,Tetraarsenic Oxide,
GABPB1-AS1,Cd(No3)2,
GABPB1-AS1,Cycloheximide,
GABPB1-AS1,Hydrogen Peroxide,DB11091
GACAT1,17-Aag,
GAPDHP64,Ginsenoside Rg3,
GAS-5,Epoxyazadiradione,
GAS1RR,Progesterone,DB00396
GAS5,Bleomycin,DB00290
GAS5,Cycloheximide,
GAS5,Panobinostat,DB06603
GAS5,Panobinostat,DB06603
GAS5,Methylprednisolone,DB00959
GAS5,Methylprednisolone,DB00959
GAS5,Cisplatin,DB00515
GAS5,Isoprenaline,DB01064
GAS5,Isoprenaline,DB01064
GAS5,Doxorubicin,DB00997
GAS5,Quercetin,DB04216
GAS5,Sorafenib,DB00398
GAS5,Isodeoxyelephantopin,
GAS5,Dexamethasone,DB01234
GAS5,Dexamethasone,DB01234
GAS5,Myricetin,DB02375
GAS5-AS1,Dexamethasone,DB01234
GAS6-202,Tetraarsenic Oxide,
GATS,Panobinostat,DB06603
GBA-210,Tetraarsenic Oxide,
GCC2,Panobinostat,DB06603
GCFC1-AS1,Panobinostat,DB06603
GDEP,Panobinostat,DB06603
GDNF-AS1,Panobinostat,DB06603
GEN1-208,Tetraarsenic Oxide,
GFPT2-206,Tetraarsenic Oxide,
GGA3,Panobinostat,DB06603
GGT3P,Panobinostat,DB06603
GGTA1P,Panobinostat,DB06603
GGTA1P,Berberine,DB04115
GJA9-MYCBP,Panobinostat,DB06603
GLIS3-AS1,Progesterone,DB00396
GLUD1P3,Panobinostat,DB06603
GLUD1P7,Dexamethasone,DB01234
GLUL-212,Tetraarsenic Oxide,
GLYCTK-AS1,Panobinostat,DB06603
Gm43351,Tanshinone Iia,
GNAS-AS1,Sorafenib,DB00398
GNG12-AS1,Panobinostat,DB06603
GNPDA2,Panobinostat,DB06603
GOLGA2B,Panobinostat,DB06603
GOLGA2P5,Panobinostat,DB06603
GOLGA6L5,Panobinostat,DB06603
GOLGA6L5P,Dexamethasone,DB01234
GOLGA8A,Panobinostat,DB06603
GOLGA8DP,Panobinostat,DB06603
GORASP1-223,Tetraarsenic Oxide,
GPC5-IT1,Dexamethasone,DB01234
GPC6-AS1,Berberine,DB04115
GPR98,Panobinostat,DB06603
GRIFIN,Panobinostat,DB06603
GRM4,Panobinostat,DB06603
GRM7-AS3,Panobinostat,DB06603
GRTP1-AS1,Panobinostat,DB06603
GS1-115G20.1,Dexamethasone,DB01234
GS1-122H1.2,Panobinostat,DB06603
GS1-124K5.2,Panobinostat,DB06603
GS1-124K5.3,Panobinostat,DB06603
GS1-124K5.4,Panobinostat,DB06603
GS1-393G12.12,Pravastatin,DB00175
GS1-39E22.1,Panobinostat,DB06603
GS1-600G8.5,Panobinostat,DB06603
GSE61474_XLOC_066128,Dexamethasone,DB01234
GTF2A1,Panobinostat,DB06603
GTF2IRD2P1,Panobinostat,DB06603
GUCY2GP,Curcumin,DB11672
GUSBP11,Panobinostat,DB06603
GUSBP11,Panobinostat,DB06603
GUSBP11,Pravastatin,DB00175
GUSBP2,Panobinostat,DB06603
GUSBP3,Panobinostat,DB06603
GUSBP3,Panobinostat,DB06603
GUSBP4,Panobinostat,DB06603
GVINP1,Panobinostat,DB06603
H19,Curcumin,DB11672
H19,Metformin,DB00331
H19,Panobinostat,DB06603
H19,Phenformin,DB00914
H19,Paclitaxel,DB01229
H19,Cisplatin,DB00515
H19,Methotrexate,DB00563
H19,Aspirin,DB00945
H19,Vorinostat,DB02546
H19,Panobinostat,DB06603
H19,Trichostatin A,DB04297
H19,Trichostatin A,DB04297
H19,Vorinostat,DB02546
H19,Panobinostat,DB06603
H19,Aspirin,DB00945
H19,Ginsenoside Rg3,
H19,Synthetic Preimplantation Factor,DB16301
H19,Isodeoxyelephantopin,
H19,Epoxyazadiradione,
H19,Levonorgestrel,DB00367
H19,Deoxyelephantopin,
H19,Pravastatin,DB00175
H19,Estrogen,
H19,Imatinib,DB00619
H19,Hesperetin,DB01094
H19,Chrysin,DB15581
H19,Quercetin,DB04216
H19,Nimbolide,
H2BFXP,Curcumin,DB11672
HAR1B,Berberine,DB04115
HAR1B,Berberine,DB04115
HAS2-AS1,Panobinostat,DB06603
HAUS1,Panobinostat,DB06603
HBBP1,Panobinostat,DB06603
HCG11,Ef24,
HCG24,Panobinostat,DB06603
HCG26,Dexamethasone,DB01234
HCG4,Panobinostat,DB06603
HCG9,Panobinostat,DB06603
HCP5,Panobinostat,DB06603
HCP5,Geniposide,
HCP5,Glucose,
HDGF-204,Tetraarsenic Oxide,
HEIH,Sorafenib,DB00398
HERC2P3,Panobinostat,DB06603
HERC2P3,Panobinostat,DB06603
HERC2P3,Berberine,DB04115
HERC2P5,Panobinostat,DB06603
HERC2P8,Panobinostat,DB06603
HERC2P9,Panobinostat,DB06603
HEXIM2,Panobinostat,DB06603
HGC6.1.1,Panobinostat,DB06603
HHIP-AS1,Progesterone,DB00396
HIF1a-AS1,Palmitic Acid,DB03796
HIF1A-AS1,Clopidogrel,DB00758
HIF1A-AS1,Quercetin,DB04216
HIF1A-AS1,Dexamethasone,DB01234
HIF1A-AS2,Panobinostat,DB06603
HIF1A-AS2,Yk-4-279,
HINT1,Panobinostat,DB06603
HLA-DPB2,Panobinostat,DB06603
HLA-DQB,Panobinostat,DB06603
HLA-F-AS1,Dexamethasone,DB01234
HLA-J,Panobinostat,DB06603
HM13-AS1,Panobinostat,DB06603
HM358976,Dexamethasone,DB01234
HM358988,Panobinostat,DB06603
HM358993,Dexamethasone,DB01234
HM587422,Pravastatin,DB00175
HM587423,Panobinostat,DB06603
HMGB1P24,Panobinostat,DB06603
HMGB1P5,Panobinostat,DB06603
HMGN2P46,Panobinostat,DB06603
HMlincRNA1099,Panobinostat,DB06603
HMlincRNA1191,Panobinostat,DB06603
HMlincRNA136,Panobinostat,DB06603
HMlincRNA1425,Panobinostat,DB06603
HMlincRNA1548,Panobinostat,DB06603
HMlincRNA1579,Panobinostat,DB06603
HMlincRNA1584,Panobinostat,DB06603
HMlincRNA1602,Panobinostat,DB06603
HMlincRNA1636,Panobinostat,DB06603
HMlincRNA378,Panobinostat,DB06603
HMlincRNA425,Panobinostat,DB06603
HMlincRNA552,Panobinostat,DB06603
HMlincRNA561,Panobinostat,DB06603
HMlincRNA617,Panobinostat,DB06603
HMlincRNA864,Panobinostat,DB06603
HMlincRNA942,Panobinostat,DB06603
HMlincRNA963,Panobinostat,DB06603
HMMR-AS1,Sevoflurane,DB01236
HNF1A-AS1,Panobinostat,DB06603
HNMT-205,Tetraarsenic Oxide,
HNRNPA1P28,Ginsenoside Rg3,
HNRNPA1P50,Ginsenoside Rg3,
HNRNPDL,5alpha-Hydroxytriptolide,
HOST2,Sinomenine Hydrochloride,
HOTAIR,Bleomycin,DB00290
HOTAIR,Genistein,DB01645
HOTAIR,Genistein,DB01645
HOTAIR,Diethylstilbestrol (Des),
HOTAIR,Bisphenol A,DB06973
HOTAIR,Cisplatin,DB00515
HOTAIR,Paclitaxel,DB01229
HOTAIR,Genistein,DB01645
HOTAIR,Calycosin,
HOTAIR,Panobinostat,DB06603
HOTAIR,Propofol,DB00818
HOTAIR,Platinum,DB12257
HOTAIR,Cisplatin,DB00515
HOTAIR,Artesunate,DB09274
HOTAIR,Dioscin,
HOTAIR,Cisplatin,DB00515
HOTAIR,Schisandrin B,
HOTAIR,Quercetin,DB04216
HOTAIR,Cisplatin,DB00515
HOTAIR,Curcumin,DB11672
HOTAIR,Bufalin,
HOTAIR,Sorafenib,DB00398
HOTAIR,Astaxanthin,DB06543
HOTAIR,Ac1Q3Qwb,
HOTAIR,Silica,
HOTAIR,Isodeoxyelephantopin,
HOTAIR,Propofol,DB00818
HOTAIR,Tanshinone Iia,
HOTAIR,Epoxyazadiradione,
HOTAIR,Epoxyazadiradione,
HOTAIR,Deoxyelephantopin,
HOTAIR,Metformin,DB00331
HOTAIR,Imatinib,DB00619
HOTAIR,Ginsenoside Rg3,
HOTAIR,Metformin,DB00331
HOTAIR,Beta-Elemene,
HOTAIR,Paraquat,
HOTAIR,Resveratrol,DB02709
HOTAIR,Nimbolide,
HOTAIRM1,Panobinostat,DB06603
HOTAIRM1,Progesterone,DB00396
HOTTIP,Panobinostat,DB06603
HOTTIP,Sorafenib,DB00398
HOXA-AS2,Tretinoin,DB00755
HOXA-AS2,Tretinoin,DB00755
HOXA-AS2,Cisplatin,DB00515
HOXA-AS2,Sorafenib,DB00398
HOXA-AS4,Panobinostat,DB06603
HOXA11-AS,Panobinostat,DB06603
HOXA11-AS,Oxaliplatin,DB00526
HOXA11-AS,Propofol,DB00818
HOXA11-AS,Berberine,DB04115
HOXA11-AS,Sorafenib,DB00398
HOXA11-AS,Propofol,DB00818
HOXA11-AS,Tetraarsenic Oxide,
HOXB-AS5,Panobinostat,DB06603
HOXC-AS1,Panobinostat,DB06603
HOXC-AS2,Panobinostat,DB06603
HOXC-AS3,Panobinostat,DB06603
HOXC5,Panobinostat,DB06603
HOXD-AS1,Pravastatin,DB00175
HOXD-AS2,Panobinostat,DB06603
HP07349,Panobinostat,DB06603
HP08777,Panobinostat,DB06603
HP11113,Panobinostat,DB06603
HSD17B7P2,Panobinostat,DB06603
HSD17B7P2,Ginsenoside Rg3,
HTR3E-AS1,Panobinostat,DB06603
HTR7P1,Panobinostat,DB06603
HTR7P1,Pravastatin,DB00175
HULC,Trichostatin A,DB04297
HULC,Trichostatin A,DB04297
HULC,Palmitic Acid,DB03796
HULC,Metformin,DB00331
HULC,Yk-4-279,
HULC,Beta-Elemene,
HYDIN2,Panobinostat,DB06603
ID2B,Panobinostat,DB06603
IDH1-AS1,Panobinostat,DB06603
IDI2-AS1,Cycloheximide,
IFITM3,Panobinostat,DB06603
IFT27,Panobinostat,DB06603
IFT43,Panobinostat,DB06603
IGF2-AS,Tetraarsenic Oxide,
IGH,Panobinostat,DB06603
IGHG1,Progesterone,DB00396
IGHM,Progesterone,DB00396
IKBKB,Panobinostat,DB06603
IL10RA,Panobinostat,DB06603
IL21R-AS1,Panobinostat,DB06603
IMPA1P,Panobinostat,DB06603
INO80B-WBP1,Panobinostat,DB06603
IP6K2,Panobinostat,DB06603
IPO4,Panobinostat,DB06603
IPW,Palmitic Acid,DB03796
IPW,Progesterone,DB00396
IPW,Sorafenib,DB00398
IQCH-AS1,Panobinostat,DB06603
IQCJ-SCHIP1-AS1,Panobinostat,DB06603
ITGB2-AS1,Panobinostat,DB06603
ITPA,Panobinostat,DB06603
ITPK1-AS1,Progesterone,DB00396
JA040725,Panobinostat,DB06603
JAM2,Panobinostat,DB06603
JAZF1-AS1,Panobinostat,DB06603
JF824130,Panobinostat,DB06603
JPX,Melatonin,DB01065
KALRN,Panobinostat,DB06603
KAT14,Dapt,
KB-1083B1.1,Pravastatin,DB00175
KB-1183D5.14,Panobinostat,DB06603
KB-1184D12.1,Panobinostat,DB06603
KB-1458E12.1,Panobinostat,DB06603
KB-1460A1.5-001,5alpha-Hydroxytriptolide,
KB-1471A8.2,Panobinostat,DB06603
KB-1615E4.2,Panobinostat,DB06603
KB-1615E4.3,Panobinostat,DB06603
KB-173C10.1,Panobinostat,DB06603
KB-1836B5.1,Panobinostat,DB06603
KB-1930G5.4,Panobinostat,DB06603
KB-431C1.4,Panobinostat,DB06603
KC6,Panobinostat,DB06603
KCNAB1-AS2,Panobinostat,DB06603
KCNH1-IT1,Panobinostat,DB06603
KCNMB2-IT1,Panobinostat,DB06603
KCNQ1DN,Panobinostat,DB06603
KCNQ1DN,Panobinostat,DB06603
KCNQ1OT1,Hydrogen Peroxide,DB11091
KCNQ1OT1,Sevoflurane,DB01236
KCNQ2,Panobinostat,DB06603
KDM4A-AS1,Panobinostat,DB06603
KDM5B-AS1,Panobinostat,DB06603
KHSRPP1,Ginsenoside Rg3,
KIAA0494-AS1,Panobinostat,DB06603
KIAA0664L3,Panobinostat,DB06603
KIAA0664L3,Panobinostat,DB06603
KIAA1324,Panobinostat,DB06603
KIAA1456,Panobinostat,DB06603
KIAA1653,Panobinostat,DB06603
KIAA1656,Panobinostat,DB06603
KIAA1656,Dexamethasone,DB01234
KIF25-AS1,Panobinostat,DB06603
KIR3DP1,Panobinostat,DB06603
KLF6,Panobinostat,DB06603
KLF7-IT1-001,5alpha-Hydroxytriptolide,
KLHDC9,Panobinostat,DB06603
KLHL7-AS1,Panobinostat,DB06603
KLRAP1,Panobinostat,DB06603
KPNA3-IT1,Panobinostat,DB06603
KRT16P3,Panobinostat,DB06603
KRT17P2,Panobinostat,DB06603
KRT17P3,Ginsenoside Rg3,
KRT18P48,Ginsenoside Rg3,
KRT18P55,Ginsenoside Rg3,
KRT42P,Panobinostat,DB06603
KRT8P12,Panobinostat,DB06603
KRT8P32,Ginsenoside Rg3,
KU-MEL-3,Panobinostat,DB06603
LA16c-312E8.2,Panobinostat,DB06603
LA16c-313D11.10,Panobinostat,DB06603
LA16c-313D11.12,Panobinostat,DB06603
LA16c-313D11.9,Panobinostat,DB06603
LA16c-358B7.3,Panobinostat,DB06603
LA16c-390E6.5,Panobinostat,DB06603
LA16c-444G7.2,Panobinostat,DB06603
LA16c-83F12.6,Panobinostat,DB06603
LBX2-AS1,Panobinostat,DB06603
LDHA,Panobinostat,DB06603
LEF1-AS1,Panobinostat,DB06603
LENG8-AS1,Panobinostat,DB06603
LENG8-AS1,Pravastatin,DB00175
LEPREL1-AS1,Panobinostat,DB06603
LETM1P2,Ginsenoside Rg3,
LHFPL2-202,Tetraarsenic Oxide,
LHFPL3-AS2,Oxaliplatin,DB00526
LIMD1-AS1,Panobinostat,DB06603
LIMS3,Panobinostat,DB06603
LIMS3-LOC440895,Panobinostat,DB06603
linc-ACTBL2-2,Everolimus,DB01590
linc-CBWD3-3,Everolimus,DB01590
linc-FCN1-2,5alpha-Hydroxytriptolide,
linc-GBP5-3,5alpha-Hydroxytriptolide,
linc-ISLR2-3,5alpha-Hydroxytriptolide,
linc-MRPL46,Everolimus,DB01590
linc-POLR3G-9,Everolimus,DB01590
linc-RAB23-2,Everolimus,DB01590
linc-RASA3-7,5alpha-Hydroxytriptolide,
linc-SEMA6C,Everolimus,DB01590
linc-SLC35F5-2,5alpha-Hydroxytriptolide,
linc-TAGAP-1,5alpha-Hydroxytriptolide,
linc-TAGAP-2,5alpha-Hydroxytriptolide,
linc-TMED5,Everolimus,DB01590
linc-TRIM29-3,5alpha-Hydroxytriptolide,
Linc-TRIM58,Progesterone,DB00396
linc-TSHZ2-1,5alpha-Hydroxytriptolide,
linc-TTC35-1,5alpha-Hydroxytriptolide,
linc-U2AF1-3,Everolimus,DB01590
linc-UMODL1-2,5alpha-Hydroxytriptolide,
linc-USP24-2,5alpha-Hydroxytriptolide,
linc-USPL1-1,5alpha-Hydroxytriptolide,
linc-ZNF366-5,5alpha-Hydroxytriptolide,
linc-ZNF366-7,5alpha-Hydroxytriptolide,
LINC00052,Tetraarsenic Oxide,
LINC00085,Panobinostat,DB06603
LINC00085,Panobinostat,DB06603
LINC00092,Panobinostat,DB06603
LINC00094,Panobinostat,DB06603
LINC00094,Memantine,DB01043
LINC00114,Panobinostat,DB06603
LINC00116,Panobinostat,DB06603
LINC00152,Arsenic trioxide,DB01169
LINC00152,Cd(No3)2,
LINC00152,Cycloheximide,
LINC00152,Panobinostat,DB06603
LINC00152,Oxaliplatin,DB00526
LINC00152,Oxaliplatin,DB00526
LINC00159,Panobinostat,DB06603
LINC00160,Dexamethasone,DB01234
LINC00161,Cisplatin,DB00515
LINC00161,Cisplatin,DB00515
LINC00161,Beta-Elemene,
LINC00163,Panobinostat,DB06603
LINC00174,Panobinostat,DB06603
LINC00174,Panobinostat,DB06603
LINC00202,Panobinostat,DB06603
LINC00211,Panobinostat,DB06603
LINC00222,Panobinostat,DB06603
LINC00226,Panobinostat,DB06603
LINC00235,Oxaliplatin,DB00526
LINC00237,Panobinostat,DB06603
LINC00238,Panobinostat,DB06603
LINC00239,Dexamethasone,DB01234
LINC00243,Panobinostat,DB06603
LINC00256B,Panobinostat,DB06603
LINC00260,Panobinostat,DB06603
LINC00261,17-Aag,
LINC00263,Panobinostat,DB06603
LINC00266-4P,Dexamethasone,DB01234
LINC00266-4P,Berberine,DB04115
LINC00271,Panobinostat,DB06603
LINC00271,Panobinostat,DB06603
LINC00273,Panobinostat,DB06603
LINC00276,Panobinostat,DB06603
LINC00277,Panobinostat,DB06603
LINC00281,Pravastatin,DB00175
LINC00282,Panobinostat,DB06603
LINC00294,Bakkenolide Iiia,
LINC00299,Panobinostat,DB06603
LINC00302,Pravastatin,DB00175
LINC00303,Panobinostat,DB06603
LINC00303,Pravastatin,DB00175
LINC00309,Panobinostat,DB06603
LINC00310,Panobinostat,DB06603
LINC00312,Yk-4-279,
LINC00316,Panobinostat,DB06603
LINC00320,Panobinostat,DB06603
LINC00323,Panobinostat,DB06603
LINC00327,Panobinostat,DB06603
LINC00337,Panobinostat,DB06603
LINC00338,Panobinostat,DB06603
LINC00339,Panobinostat,DB06603
LINC00339,Doxorubicin,DB00997
LINC00341,Dexamethasone,DB01234
LINC00341,Berberine,DB04115
LINC00342,Dexamethasone,DB01234
LINC00342,Tetraarsenic Oxide,
LINC00344,Panobinostat,DB06603
LINC00345,Panobinostat,DB06603
LINC00346,Tetraarsenic Oxide,
LINC00350,Panobinostat,DB06603
LINC00359,Panobinostat,DB06603
LINC00392,Panobinostat,DB06603
LINC00393,Panobinostat,DB06603
LINC00415,Panobinostat,DB06603
LINC00424,Panobinostat,DB06603
LINC00438,Panobinostat,DB06603
LINC00441,Panobinostat,DB06603
LINC00458,Panobinostat,DB06603
LINC00460,Panobinostat,DB06603
LINC00461,Panobinostat,DB06603
LINC00466,Panobinostat,DB06603
LINC00467,Panobinostat,DB06603
LINC00467,Oxaliplatin,DB00526
LINC00469,Panobinostat,DB06603
LINC00470,Panobinostat,DB06603
LINC00472,Panobinostat,DB06603
LINC00472,Panobinostat,DB06603
LINC00473,Panobinostat,DB06603
LINC00473,5alpha-Hydroxytriptolide,
LINC00473-002,5alpha-Hydroxytriptolide,
LINC00473-005,5alpha-Hydroxytriptolide,
LINC00474,Panobinostat,DB06603
LINC00475,Oxaliplatin,DB00526
LINC00476,Panobinostat,DB06603
LINC00478,Panobinostat,DB06603
LINC00478,Berberine,DB04115
LINC00479,Dexamethasone,DB01234
LINC00482,Panobinostat,DB06603
LINC00482,Oxaliplatin,DB00526
LINC00482,Dexamethasone,DB01234
LINC00489,Panobinostat,DB06603
LINC00491,Panobinostat,DB06603
LINC00494,Panobinostat,DB06603
LINC00500,Panobinostat,DB06603
LINC00504,Panobinostat,DB06603
LINC00505,Panobinostat,DB06603
LINC00507,Panobinostat,DB06603
LINC00511,Panobinostat,DB06603
LINC00511,Pravastatin,DB00175
LINC00516,Panobinostat,DB06603
LINC00518,Panobinostat,DB06603
LINC00524,Panobinostat,DB06603
LINC00525,Dexamethasone,DB01234
LINC00526,Panobinostat,DB06603
LINC00533,Panobinostat,DB06603
LINC00543,Panobinostat,DB06603
LINC00547,Panobinostat,DB06603
LINC00551,Panobinostat,DB06603
LINC00552,Panobinostat,DB06603
LINC00563,Panobinostat,DB06603
LINC00571,Panobinostat,DB06603
LINC00574,Panobinostat,DB06603
LINC00577,Panobinostat,DB06603
LINC00589,Oxaliplatin,DB00526
LINC00597,Panobinostat,DB06603
LINC00597,Dexamethasone,DB01234
LINC00607,Panobinostat,DB06603
LINC00615,Panobinostat,DB06603
LINC00619,Dexamethasone,DB01234
LINC00622,Panobinostat,DB06603
LINC00623,Curcumin,DB11672
LINC00623,Panobinostat,DB06603
LINC00624,Panobinostat,DB06603
LINC00628,Berberine,DB04115
LINC00629,Panobinostat,DB06603
LINC00630,Panobinostat,DB06603
LINC00635,Panobinostat,DB06603
LINC00638,Oxaliplatin,DB00526
LINC00649,Panobinostat,DB06603
LINC00659,Peiminine,
LINC00662,Tetraarsenic Oxide,
LINC00847,Eleutheroside B1,
LINC00858,Tetraarsenic Oxide,
LINC00882,Dexamethasone,DB01234
LINC00883,Dexamethasone,DB01234
LINC00884-002,5alpha-Hydroxytriptolide,
LINC00886,Dexamethasone,DB01234
LINC00893,Berberine,DB04115
LINC00896,Oxaliplatin,DB00526
LINC00910-003,5alpha-Hydroxytriptolide,
LINC00933,Dexamethasone,DB01234
LINC00937,Dexamethasone,DB01234
LINC00941,Oxaliplatin,DB00526
LINC00943,Berberine,DB04115
LINC00943,Berberine,DB04115
LINC00944-002,5alpha-Hydroxytriptolide,
LINC00944-003,5alpha-Hydroxytriptolide,
LINC00944-004,5alpha-Hydroxytriptolide,
LINC00950,Dexamethasone,DB01234
LINC00950,Everolimus,DB01590
LINC00963,Corylin,
LINC00968,Dexamethasone,DB01234
LINC00968-003,5alpha-Hydroxytriptolide,
LINC00968-004,5alpha-Hydroxytriptolide,
LINC00968-006,5alpha-Hydroxytriptolide,
LINC01011,Cisplatin,DB00515
LINC01021,Oxaliplatin,DB00526
LINC01057,Oxaliplatin,DB00526
LINC01106,Oxaliplatin,DB00526
LINC01116,Matrine,
LINC01121,Metformin,DB00331
LINC01125,Dexamethasone,DB01234
LINC01133,Dexamethasone,DB01234
LINC01133,Sevoflurane,DB01236
LINC01135,Olaparib,DB09074
LINC01183,Oxaliplatin,DB00526
LINC01184,Oxaliplatin,DB00526
LINC01186,Berberine,DB04115
LINC01239,Oxaliplatin,DB00526
LINC01271,Dexamethasone,DB01234
LINC01279,Dexamethasone,DB01234
LINC01391,Piplartine,
LINC01426,Dexamethasone,DB01234
LINC01433,Dexamethasone,DB01234
LINC01473,Oxaliplatin,DB00526
LINC01512,Melatonin,DB01065
LINC01560,Oxaliplatin,DB00526
LINC01564,Dexamethasone,DB01234
LINC01629,Olaparib,DB09074
LINC01667,Bruceine D,
LINC02246,Cisplatin,DB00515
lincRNA-p21,Bleomycin,DB00290
lincRNA-p21,Methotrexate,DB00563
lincRNA-p21,Berberine,DB04115
